अ,ə
पेंदी,p eː n d̪ iː
पेंशन,p eː n ʃ ə n
पेंसिल,p eː n s ɪ l
पेई,p eː iː
पेख-,p eː kʰ -
पेखनो,p eː kʰ n oː
पेच,p eː t͡ʃ
पेचक,p eː t͡ʃ ə k
पेचा,p eː t͡ʃ ɑː
पेचिश,p eː t͡ʃ ɪ ʃ
पेचीदगी,p eː t͡ʃ iː d̪ ə g iː
पेचीदा,p eː t͡ʃ iː d̪ ɑː
पेचीला,p eː t͡ʃ iː l ɑː
पेट,p eː ʈ
पेटक,p eː ʈ ə k
पेटल,p eː ʈ ə l
पेटा,p eː ʈ ɑː
पेटारा,p eː ʈ ɑː ɾ ɑː
पेटारी,p eː ʈ ɑː ɾ iː
पेटिका,p eː ʈ ɪ k ɑː
पेटिया,p eː ʈ ɪ j ɑː
पेटी,p eː ʈ iː
पेटी,p eː ʈ iː
पेटुनी,p eː ʈ ʊ n iː
पेटू,p eː ʈ uː
पेटौखा,p eː ʈ ɔː kʰ ɑː
पेठा,p eː ʈʰ ɑː
पेड़,p eː ɽ
पेड़,p eː ɽ
पेड़ना,p eː ɽ n ɑː
पेडा़,p eː ɽ ɑː
पेडी़,p eː ɽ iː
पेडी़,p eː ɽ iː
पेड़ू,p eː ɽ uː
पेन्हाई,p eː n ɦ ɑː iː
पेय,p eː j
पेयूष,p eː j uː ʃ
पेरना,p eː ɾ n ɑː
पेल,p eː l
पेलड़,p eː l ə ɽ
पेलडा़,p eː l ɽ ɑː
पेलढ़,p eː l ə ɽʱ
पेलना,p eː l n ɑː
पेला,p eː l ɑː
पेला,p eː l ɑː
पेलू,p eː l uː
पेवडी़,p eː ʋ ɽ iː
पेवस,p eː ʋ ə s
पेवसी,p eː ʋ s iː
पेवस्त,p eː ʋ ə s t̪
पेश,p eː ʃ
पेशगी,p eː ʃ g iː
पेशतर,p eː ʃ t̪ ə ɾ
पेशवा,p eː ʃ ʋ ɑː
पेशवाई,p eː ʃ ʋ ɑː iː
पेशा,p eː ʃ ɑː
पेशानी,p eː ʃ ɑː n iː
पेशाब,p eː ʃ ɑː b
पेशावरी,p eː ʃ ɑː ʋ ɾ iː
पेशी,p eː ʃ iː
पेशी,p eː ʃ iː
पेशीन-,p eː ʃ iː n -
पेषण,p eː ʃ ə n
पेषनी,p eː ʃ ə n iː
पैंकडा़,p ɛː ~ k ɽ ɑː
पैंच,p ɛː n t͡ʃ
पैंचना,p ɛː n t͡ʃ n ɑː
पैंचा,p ɛː n t͡ʃ ɑː
पैंजन,p ɛː n d͡ʒ ə n
पैंजनी,p ɛː n d͡ʒ n iː
पैंठ,p ɛː n ʈʰ
पैंड़,p ɛː ~ ɽ
पैंडो़,p ɛː ~ ɽ oː
पैंतरा,p ɛː n t̪ ɾ ɑː
पैंता,p ɛː n t̪ ɑː
पैंताना,p ɛː n t̪ ɑː n ɑː
पैंतालीस,p ɛː n t̪ ɑː l iː s
पैंतीस,p ɛː n t̪ iː s
पैंथी,p ɛː n t̪ʰ iː
पैंसठ,p ɛː n s ə ʈʰ
पै,p ɛː
पै,p ɛː
पै-,p ɛː -
पैकर,p ɛː k ə ɾ
पैका,p ɛː k ɑː
पैकाकार,p ɛː k ɑː k ɑː ɾ
पैकार,p ɛː k ɑː ɾ
पैग़ंबर,p ɛː ɣ ə m b ə ɾ
पैग़ंबरी,p ɛː ɣ ə m b ə ɾ iː
पैग़ाम,p ɛː ɣ ɑː m
पैगू,p ɛː g uː
पैज,p ɛː d͡ʒ
पैजना,p ɛː d͡ʒ n ɑː
पैजनी,p ɛː d͡ʒ n iː
पैजा़र,p ɛː z ɑː ɾ
पैठ,p ɛː ʈʰ
पैठना,p ɛː ʈʰ n ɑː
पैठाना,p ɛː ʈʰ ɑː n ɑː
पैठार,p ɛː ʈʰ ɑː ɾ
पैठालना,p ɛː ʈʰ ɑː l n ɑː
पैठाव,p ɛː ʈʰ ɑː ʋ
पैडा़,p ɛː ɽ ɑː
पैडी़,p ɛː ɽ iː
पैतरा,p ɛː t̪ ɾ ɑː
पैताना,p ɛː t̪ ɑː n ɑː
पैतृक,p ɛː t̪ ɾ ɪ k
पैत्तिक,p ɛː t̪ t̪ ɪ k
पैथला,p ɛː t̪ʰ l ɑː
पैदल,p ɛː d̪ ə l
पैदा,p ɛː d̪ ɑː
पैदाइश,p ɛː d̪ ɑː ɪ ʃ
पैदाइशी,p ɛː d̪ ɑː ɪ ʃ iː
पैदावार,p ɛː d̪ ɑː ʋ ɑː ɾ
पैदावारी,p ɛː d̪ ɑː ʋ ɑː ɾ iː
पैन,p ɛː n
पैना,p ɛː n ɑː
पैनाना,p ɛː n ɑː n ɑː
पैनापन,p ɛː n ɑː p ə n
पैनाला,p ɛː n ɑː l ɑː
पैनी,p ɛː n iː
पैमक,p ɛː m ə k
पैमाइश,p ɛː m ɑː ɪ ʃ
पैमाना,p ɛː m ɑː n ɑː
पैया,p ɛː j ɑː
पैया,p ɛː j ɑː
पैर,p ɛː ɾ
पैरना,p ɛː ɾ n ɑː
पैरवी,p ɛː ɾ ə ʋ iː
पैरा,p ɛː ɾ ɑː
पैरा,p ɛː ɾ ɑː
पैराई,p ɛː ɾ ɑː iː
पैराक,p ɛː ɾ ɑː k
पैराकी,p ɛː ɾ ɑː k iː
पैराना,p ɛː ɾ ɑː n ɑː
पैराव,p ɛː ɾ ɑː ʋ
पैरी,p ɛː ɾ iː
पैरोकार,p ɛː ɾ oː k ɑː ɾ
पैला,p ɛː l ɑː
पैलार,p ɛː l ɑː ɾ
पैवंद,p ɛː ʋ ə n d̪
पैवंदी,p ɛː ʋ ə n d̪ iː
पैवस्ता,p ɛː ʋ ə s t̪ ɑː
पैशाच,p ɛː ʃ ɑː t͡ʃ
पैशाचिक,p ɛː ʃ ɑː t͡ʃ ɪ k
पैशाची,p ɛː ʃ ɑː t͡ʃ iː
पैशुन्य,p ɛː ʃ ʊ n j ə
पैसना,p ɛː s n ɑː
पैसा,p ɛː s ɑː
पैसार,p ɛː s ɑː ɾ
पों,p oː ~
पोंकना,p oː ~ k n ɑː
पोंका,p oː ~ k ɑː
पोंगल,p oː ŋ g ə l
पोंगा,p oː ŋ g ɑː
पोंछन,p oː n t͡ʃʰ ə n
पोंछना,p oː n t͡ʃʰ n ɑː
पोंछियाहा,p oː n t͡ʃʰ ɪ j ɑː ɦ ɑː
पोंटा,p oː n ʈ ɑː
पोंटी,p oː n ʈ iː
पोंठी,p oː n ʈʰ iː
पोआ,p oː ɑː
पोईया,p oː ɪ j ɑː
पोईस,p oː ɪ s
पोई,p oː iː
पोई,p oː iː
पोई,p oː iː
पोका,p oː k ɑː
पोखर,p oː kʰ ə ɾ
पोखरा,p oː kʰ ɾ ɑː
पोच,p oː t͡ʃ
पोची,p oː t͡ʃ iː
पोट,p oː ʈ
पोटला,p oː ʈ l ɑː
पोटली,p oː ʈ l iː
पोटा,p oː ʈ ɑː
पोटा,p oː ʈ ɑː
पोटिया,p oː ʈ ɪ j ɑː
पोटी,p oː ʈ iː
पोठी,p oː ʈʰ iː
पोढ़ा,p oː ɽʱ ɑː
पोढ़ी,p oː ɽʱ iː
पोत,p oː t̪
पोत,p oː t̪
पोत,p oː t̪
पोत,p oː t̪
पोत,p oː t̪
पोत,p oː t̪
पोतक,p oː t̪ ə k
पोतड़ा,p oː t̪ ɽ ɑː
पोतना,p oː t̪ n ɑː
पोता,p oː t̪ ɑː
पोता,p oː t̪ ɑː
पोता,p oː t̪ ɑː
पोता,p oː t̪ ɑː
पोतिया,p oː t̪ ɪ j ɑː
पोतिया,p oː t̪ ɪ j ɑː
पोतिया,p oː t̪ ɪ j ɑː
पोती,p oː t̪ iː
पोती,p oː t̪ iː
पोथ,p oː t̪ʰ
पोथकी,p oː t̪ʰ k iː
पोथला,p oː t̪ʰ l ɑː
पोथा,p oː t̪ʰ ɑː
पोथी,p oː t̪ʰ iː
पोथी,p oː t̪ʰ iː
पोदना,p oː d̪ n ɑː
पोदीना,p oː d̪ iː n ɑː
पोद्दार,p oː d̪ d̪ ɑː ɾ
पोना,p oː n ɑː
पोना,p oː n ɑː
पोना,p oː n ɑː
पोपटा,p oː p ʈ ɑː
पोपनी,p oː p n iː
पोपला,p oː p l ɑː
पोपलाना,p oː p l ɑː n ɑː
पोमचा,p oː m t͡ʃ ɑː
पोर,p oː ɾ
पोरवा,p oː ɾ ʋ ɑː
पोरवाल,p oː ɾ ʋ ɑː l
पोरा,p oː ɾ ɑː
पोरी,p oː ɾ iː
पोरुआ,p oː ɾ ʊ ɑː
पोल,p oː l
पोल,p oː l
पोल,p oː l
पोला,p oː l ɑː
पोला,p oː l ɑː
पोलापन,p oː l ɑː p ə n
पोली,p oː l iː
पोशाक,p oː ʃ ɑː k
पोशाकी,p oː ʃ ɑː k iː
पोशीदगी,p oː ʃ iː d̪ ə g iː
पोशिदा,p oː ʃ iː d̪ ɑː
पोष,p oː ʃ
पोष-,p oː ʃ -
पोषक,p oː ʃ ə k
पोषकत्व,p oː ʃ ə k ə t̪ ʋ ə
पोषण,p oː ʃ ə n
पोषणीय,p oː ʃ ə n iː j ə
पोषयिता,p oː ʃ ə j ɪ t̪ ɑː
पोषित,p oː ʃ ɪ t̪
पोष्य,p oː ʃ j ə
पोस,p oː s
पोसना,p oː s n ɑː
पोस्त,p oː s t̪
पोस्ता,p oː s t̪ ɑː
पोस्ती,p oː s t̪ iː
पोस्तीन,p oː s t̪ iː n
पोह,p oː ɦ
पोहा,p oː ɦ ɑː
पोहा,p oː ɦ ɑː
पौंगी,p ɔː ŋ g iː
पौंचा,p ɔː n t͡ʃ ɑː
पौंड,p ɔː n ɖ
पौंडा,p ɔː n ɖ ɑː
पौ,p ɔː
पौ,p ɔː
पौ,p ɔː
पौगंड,p ɔː g ə n ɖ
पौड़ी,p ɔː ɽ iː
पौढना,p ɔː ɽʱ n ɑː
पौढ़ना,p ɔː ɽʱ ɑː
पौढ़ाना,p ɔː ɽʱ ɑː n ɑː
पौत्तलिक,p ɔː t̪ t̪ ə l ɪ k
पौत्र,p ɔː t̪ ɾ
पौत्रिक,p ɔː t̪ ɾ ɪ k
पौत्री,p ɔː t̪ ɾ iː
पौद,p ɔː d̪
पौदा,p ɔː d̪ ɑː
पौध,p ɔː d̪ʱ
पौधा,p ɔː d̪ʱ ɑː
पौधेला,p ɔː d̪ʱ eː l ɑː
पौन,p ɔː n
पौन,p ɔː n
पौना,p ɔː n ɑː
पौना,p ɔː n ɑː
पौनी,p ɔː n iː
पौर,p ɔː ɾ
पौर,p ɔː ɾ
पौरा,p ɔː ɾ ɑː
पौरव,p ɔː ɾ ə ʋ
पौरा,p ɔː ɾ ɑː
पौराणिक,p ɔː ɾ ɑː n ɪ k
पौरीया,p ɔː ɾ ɪ j ɑː
पौरी,p ɔː ɾ iː
पौरी,p ɔː ɾ iː
पौरुष,p ɔː ɾ ʊ ʃ
पौरुषता,p ɔː ɾ ʊ ʃ ə t̪ ɑː
पौरुषीय,p ɔː ɾ ʊ ʃ iː j ə
पौरुषेय,p ɔː ɾ ʊ ʃ eː j ə
पौरुष्य,p ɔː ɾ ʊ ʃ j ə
पौरोहित्य,p ɔː ɾ oː ɦ ɪ t̪ j ə
पौर्णमासी,p ɔː ɾ n m ɑː s iː
पौर्वात्य,p ɔː ɾ ʋ ɑː t̪ j ə
पौर्विक,p ɔː ɾ ʋ ɪ k
पौल,p ɔː l
पौलिया,p ɔː l ɪ j ɑː
पौली,p ɔː l iː
पौवा,p ɔː ʋ ɑː
पौष्टिक,p ɔː ʃ ʈ ɪ k
पौष्ण,p ɔː ʃ n ə
पौह,p ɔː ɦ
प्याऊ,p j ɑː uː
प्याज़,p j ɑː z
प्याज़ी,p j ɑː z iː
प्यादा,p j ɑː d̪ ɑː
प्यार,p j ɑː ɾ
प्यारा,p j ɑː ɾ ɑː
प्याला,p j ɑː l ɑː
प्याली,p j ɑː l iː
प्यास,p j ɑː s
प्यासा,p j ɑː s ɑː
प्यासी,p j ɑː s iː
प्र-,p ɾ ə -
प्रकंप,p ɾ ə - k ə m p
प्रकंपन,p ɾ ə - k ə m p ə n
प्रकंपित,p ɾ ə - k ə m p ɪ t̪
प्रकंपी,p ɾ ə - k ə m p iː
प्रकट,p ɾ ə - k ə ʈ
प्रकटता,p ɾ ə - k ə ʈ ə t̪ ɑː
प्रकटित,p ɾ ə - k ə ʈ ɪ t̪
प्रकटीकरण,p ɾ ə - k ə ʈ iː k ə ɾ ə n
प्रकरण,p ɾ ə - k ə ɾ ə n
प्रकरी,p ɾ ə - k ə ɾ iː
प्रकर्ष,p ɾ ə - k ə ɾ ʃ
प्रकांड,p ɾ ə - k ɑː n ɖ
प्रकार,p ɾ ə - k ɑː ɾ
प्रकाश,p ɾ ə - k ɑː ʃ
प्रकाशक,p ɾ ə - k ɑː ʃ ə k
प्रकाशकीय,p ɾ ə - k ɑː ʃ ə k iː j ə
प्रकाशता,p ɾ ə - k ɑː ʃ ə t̪ ɑː
प्रकाशन,p ɾ ə - k ɑː ʃ ə n
प्रकाशिकी,p ɾ ə - k ɑː ʃ ɪ k iː
प्रकाशित,p ɾ ə - k ɑː ʃ ɪ t̪
प्रकाश्य,p ɾ ə - k ɑː ʃ j ə
प्रकीर्ण,p ɾ ə - k iː ɾ n
प्रकीर्णक,p ɾ ə - k iː ɾ n ə k
प्रकीर्तन,p ɾ ə - k iː ɾ t̪ ə n
प्रकीर्ति,p ɾ ə - k iː ɾ t̪ ɪ
प्रकीर्तित,p ɾ ə - k iː ɾ t̪ ɪ t̪
प्रकुपित,p ɾ ə - k ʊ p ɪ t̪
प्रकृत,p ɾ ə - k ɾ ɪ t̪
प्रकृतता,p ɾ ə k ɾ ɪ t̪ ə t̪ ɑː
प्रकृति,p ɾ ə - k ɾ ɪ t̪ ɪ
प्रकृष्ट,p ɾ ə - k ɾ ɪ ʃ ʈ
प्रकृष्टता,p ɾ ə - k ɾ ɪ ʃ ʈ ə t̪ ɑː
प्रकोप,p ɾ ə - k oː p
प्रकोपन,p ɾ ə - k oː p ə n
प्रकोपित,p ɾ ə - k oː p ɪ t̪
प्रक्रम,p ɾ ə - k ɾ ə m
प्रक्रिया,p ɾ ə - k ɾ ɪ j ɑː
प्रक्षालन,p ɾ ə - k ʃ ɑː l ə n
प्रक्षालित,p ɾ ə - k ʃ ɑː l ɪ t̪
प्रक्षिप्त,p ɾ ə - k ʃ ɪ p t̪
प्रक्षीण,p ɾ ə - k ʃ iː n
प्रक्षेप,p ɾ ə - k ʃ eː p
प्रक्षेपक,p ɾ ə - k ʃ eː p ə k
प्रक्षेपण,p ɾ ə - k ʃ eː p ə n
प्रक्षेपित,p ɾ ə - k ʃ eː p ɪ t̪
प्रक्षेप्य,p ɾ ə - k ʃ eː p j ə
प्रक्षोभण,p ɾ ə - k ʃ oː bʱ ə n
प्रखर,p ɾ ə - kʰ ə ɾ
प्रखरता,p ɾ ə - kʰ ə ɾ ə t̪ ɑː
प्रख्यात,p ɾ ə - kʰ j ɑː t̪
प्रख्याति,p ɾ ə - kʰ j ɑː t̪ ɪ
प्रख्यान,p ɾ ə - kʰ j ɑː n
प्रख्यापन,p ɾ ə - kʰ j ɑː p ə n
प्रख्यापित,p ɾ ə - kʰ j ɑː p ɪ t̪
प्रगट,p ɾ ə g ə ʈ
प्रगट-,p ɾ ə - g ə ʈ -
प्रगटाना,p ɾ ə g ə ʈ ɑː n ɑː
प्रगटित,p ɾ ə g ə ʈ ɪ t̪
प्रगति,p ɾ ə - g ə t̪ ɪ
प्रगल्भ,p ɾ ə - g ə l bʱ
प्रगल्भता,p ɾ ə - g ə l bʱ ə t̪ ɑː
प्रगाढ़,p ɾ ə - g ɑː ɽʱ
प्रगाढ़ता,p ɾ ə - g ɑː ɽʱ ə t̪ ɑː
प्रगामी,p ɾ ə - g ɑː m iː
प्रगोपन,p ɾ ə - g oː p ə n
प्रग्रहण,p ɾ ə - g ɾ ə ɦ ə n
प्रघण,p ɾ ə - gʱ ə n
प्रचंड,p ɾ ə - t͡ʃ ə n ɖ
प्रचंडता,p ɾ ə - t͡ʃ ə n ɖ ə t̪ ɑː
प्रचलन,p ɾ ə - t͡ʃ ə l ə n
प्रचलित,p ɾ ə - t͡ʃ ə l ɪ t̪
प्रचार,p ɾ ə - t͡ʃ ɑː ɾ
प्रचार-,p ɾ ə - t͡ʃ ɑː ɾ -
प्रचारक,p ɾ ə - t͡ʃ ɑː ɾ ə k
प्रचारण,p ɾ ə - t͡ʃ ɑː ɾ ə n
प्रचारिणी,p ɾ ə - t͡ʃ ɑː ɾ ɪ n iː
प्रचारित,p ɾ ə - t͡ʃ ɑː ɾ ɪ t̪
प्रचारी,p ɾ ə - t͡ʃ ɑː ɾ iː
प्रचुर,p ɾ ə t͡ʃ ʊ ɾ
प्रचुरता,p ɾ ə t͡ʃ ʊ ɾ ə t̪ ɑː
प्रचोदन,p ɾ ə - t͡ʃ oː d̪ ə n
प्रचोदित,p ɾ ə - t͡ʃ oː d̪ ɪ t̪
प्रच्छद,p ɾ ə - t͡ʃ t͡ʃʰ ə d̪
प्रच्छन्न,p ɾ ə - t͡ʃ t͡ʃʰ ə n n
प्रच्युत,p ɾ ə - t͡ʃ j ʊ t̪
प्रच्युति,p ɾ ə - t͡ʃ j ʊ t̪ ɪ
प्रजनन,p ɾ ə - d͡ʒ ə n ə n
प्रजा,p ɾ ə - d͡ʒ ɑː
प्रजात,p ɾ ə - d͡ʒ ɑː t̪
प्रजायिनी,p ɾ ə - d͡ʒ ɑː j ɪ n iː
प्रजार-,p ɾ ə - d͡ʒ ɑː ɾ -
प्रज्ञ,p ɾ ə - g j ə
प्रज्ञता,p ɾ ə - g j ə t̪ ɑː
प्रज्ञा,p ɾ ə - g j ɑː
प्रज्ञात,p ɾ ə - g j ɑː t̪
प्रज्ञान,p ɾ ə - g j ɑː n
प्रज्ञापक,p ɾ ə - g j ɑː p ə k
प्रज्वलन,p ɾ ə - d͡ʒ ʋ ə l ə n
प्रज्वलितं,p ɾ ə - d͡ʒ ʋ ə l ɪ t̪
प्रण,p ɾ ə n
प्रणत,p ɾ ə - n ə t̪
प्रणति,p ɾ ə - n ə t̪ ɪ
प्रणना,p ɾ ə n n ɑː
प्रणय,p ɾ ə - n ə j
प्रणयन,p ɾ ə - n ə j ə n
प्रणयिनी,p ɾ ə - n ə j ɪ n iː
प्रणयी,p ɾ ə - n ə j iː
प्रणव,p ɾ ə - n ə ʋ
प्रणाद,p ɾ ə - n ɑː d̪
प्रणाम,p ɾ ə - n ɑː m
प्रणाल,p ɾ ə - n ɑː l
प्रणालिका,p ɾ ə - n ɑː l ɪ k ɑː
प्रणाली,p ɾ ə - n ɑː l iː
प्रणिधान,p ɾ ə - n ɪ - d̪ʱ ɑː n
प्रणिपात,p ɾ ə - n ɪ - p ɑː t̪
प्रणी,p ɾ ə n iː
प्रणीत,p ɾ ə - n iː t̪
प्रणेता,p ɾ ə - n eː t̪ ɑː
प्रणोदन,p ɾ ə - n oː d̪ ə n
प्रताड़ना,p ɾ ə - t̪ ɑː ɽ ə n ɑː
प्रतान,p ɾ ə - t̪ ɑː n
प्रताप,p ɾ ə - t̪ ɑː p
प्रतापी,p ɾ ə - t̪ ɑː p iː
प्रतारक,p ɾ ə - t̪ ɑː ɾ ə k
प्रतारण,p ɾ ə - t̪ ɑː ɾ ə n
प्रतारणा,p ɾ ə - t̪ ɑː ɾ ə n ɑː
प्रतारित,p ɾ ə - t̪ ɑː ɾ ɪ t̪
प्रति,p ɾ ə t̪ ɪ
प्रतिकर,p ɾ ə t̪ ɪ - k ə ɾ
प्रतिकरण,p ɾ ə t̪ ɪ - k ə ɾ ə n
प्रतिकर्म,p ɾ ə t̪ ɪ - k ə ɾ m
प्रतिकर्मक,p ɾ ə t̪ ɪ - k ə ɾ m ə k
प्रतिकार,p ɾ ə t̪ ɪ - k ɑː ɾ
प्रतिकारक,p ɾ ə t̪ ɪ - k ɑː ɾ ə k
प्रतिकारी,p ɾ ə t̪ ɪ - k ɑː ɾ iː
प्रतिकार्य,p ɾ ə t̪ ɪ - k ɑː ɾ j ə
प्रतिकूल,p ɾ ə t̪ ɪ - k uː l
प्रतिकूलता,p ɾ ə t̪ ɪ - k uː l ə t̪ ɑː
प्रतिकृति,p ɾ ə t̪ ɪ - k ɾ ɪ t̪ ɪ
प्रतिक्रम,p ɾ ə t̪ ɪ - k ɾ ə m
प्रतिक्रियक,p ɾ ə t̪ ɪ - k ɾ ɪ j ə k
प्रतिक्रिया,p ɾ ə t̪ ɪ - k ɾ ɪ j ɑː
प्रतिक्षण,p ɾ ə t̪ ɪ - k ʃ ə n
प्रतिगामी,p ɾ ə t̪ ɪ - g ɑː m iː
प्रतिगृहीत,p ɾ ə t̪ ɪ - g ɾ ɪ ɦ iː t̪
प्रतिग्रह,p ɾ ə t̪ ɪ - g ɾ ə ɦ
प्रतिग्रहण,p ɾ ə t̪ ɪ - g ɾ ə ɦ ə n
प्रतिग्राहक,p ɾ ə t̪ ɪ - g ɾ ɑː ɦ ə k
प्रतिघात,p ɾ ə t̪ ɪ - gʱ ɑː t̪
प्रतिघाती,p ɾ ə t̪ ɪ - gʱ ɑː t̪ iː
प्रतिचिंतन,p ɾ ə t̪ ɪ - t͡ʃ ɪ n t̪ ə n
प्रतिच्छवि,p ɾ ə t̪ ɪ - t͡ʃ t͡ʃʰ ə ʋ ɪ
प्रतिच्छायित,p ɾ ə t̪ ɪ - t͡ʃ t͡ʃʰ ɑː j ɪ t̪
प्रतिछाया,p ɾ ə t̪ ɪ - t͡ʃʰ ɑː j ɑː
प्रतिजीव,p ɾ ə t̪ ɪ - d͡ʒ iː ʋ
प्रतिजीवन,p ɾ ə t̪ ɪ - d͡ʒ iː ʋ ə n
प्रतिज्ञा,p ɾ ə t̪ ɪ - g j ɑː
प्रतिज्ञात,p ɾ ə t̪ ɪ - g j ɑː t̪
प्रतिदत्त,p ɾ ə t̪ ɪ - d̪ ə t̪ t̪
प्रतिदान,p ɾ ə t̪ ɪ - d̪ ɑː n
प्रतिदिन,p ɾ ə t̪ ɪ - d̪ ɪ n
प्रतिद्वंद्व,p ɾ ə t̪ ɪ - d̪ ʋ ə n d̪ ʋ ə
प्रतिद्वंद्विता,p ɾ ə t̪ ɪ - d̪ ʋ ə n d̪ ʋ ɪ t̪ ɑː
प्रतिद्वंद्वी,p ɾ ə t̪ ɪ - d̪ ʋ ə n d̪ ʋ iː
प्रतिध्वनि,p ɾ ə t̪ ɪ - d̪ʱ ʋ ə n ɪ
प्रतिध्वनित,p ɾ ə t̪ ɪ - d̪ʱ ʋ ə n ɪ t̪
प्रतिनाद,p ɾ ə t̪ ɪ - n ɑː d̪
प्रतिनिधि,p ɾ ə t̪ ɪ - n ɪ - d̪ʱ ɪ
प्रतिनिधिक,p ɾ ə t̪ ɪ n ɪ d̪ʱ ɪ k
प्रतिनिधित,p ɾ ə t̪ ɪ - n ɪ - d̪ʱ ɪ t̪
प्रतिनिधित्व,p ɾ ə t̪ ɪ - n ɪ - d̪ʱ ɪ t̪ ʋ ə
प्रतिनियुक्त,p ɾ ə t̪ ɪ - n ɪ - j ʊ k t̪
प्रतिनिर्देशन,p ɾ ə t̪ ɪ - n ɪ ɾ - d̪ eː ʃ ə n
प्रतिपक्ष,p ɾ ə t̪ ɪ - p ə k ʃ
प्रतिपक्षता,p ɾ ə t̪ ɪ - p ə k ʃ ə t̪ ɑː
प्रतिपक्षी,p ɾ ə t̪ ɪ - p ə k ʃ iː
प्रतिपत्ति,p ɾ ə t̪ ɪ - p ə t̪ t̪ ɪ
प्रतिपद,p ɾ ə t̪ ɪ - p ə d̪
प्रतिपद्,p ɾ ə t̪ ɪ - p ə d̪
प्रतिपदा,p ɾ ə t̪ ɪ - p ə d̪ ɑː
प्रतिपन्न,p ɾ ə t̪ ɪ - p ə n n
प्रतिपादन,p ɾ ə t̪ ɪ - p ɑː d̪ ə n
प्रतिपादित,p ɾ ə t̪ ɪ - p ɑː d̪ ɪ t̪
प्रतिपाद्य,p ɾ ə t̪ ɪ - p ɑː d̪ j ə
प्रतिपाल,p ɾ ə t̪ ɪ - p ɑː l
प्रतिपाल-,p ɾ ə t̪ ɪ p ɑː l -
प्रतिपालक,p ɾ ə t̪ ɪ - p ɑː l ə k
प्रतिपालन,p ɾ ə t̪ ɪ - p ɑː l ə n
प्रतिपालित,p ɾ ə t̪ ɪ - p ɑː l ɪ t̪
प्रतिपाल्य,p ɾ ə t̪ ɪ - p ɑː l j ə
प्रतिपूजक,p ɾ ə t̪ ɪ - p uː d͡ʒ ə k
प्रतिपूजन,p ɾ ə t̪ ɪ - p uː d͡ʒ ə n
प्रतिफल,p ɾ ə t̪ ɪ - pʰ ə l
प्रतिफलित,p ɾ ə t̪ ɪ - pʰ ə l ɪ t̪
प्रतिबंध,p ɾ ə t̪ ɪ - b ə n d̪ʱ
प्रतिबंधक,p ɾ ə t̪ ɪ - b ə n d̪ʱ ə k
प्रतिबंधित,p ɾ ə t̪ ɪ - b ə n d̪ʱ ɪ t̪
प्रतिबंधी,p ɾ ə t̪ ɪ - b ə n d̪ʱ iː
प्रतिबंद्ध,p ɾ ə t̪ ɪ - b ə d̪ d̪ʱ
प्रतिबाधक,p ɾ ə t̪ ɪ - b ɑː d̪ʱ ə k
प्रतिबाधन,p ɾ ə t̪ ɪ - b ɑː d̪ʱ ə n
प्रतिबाधित,p ɾ ə t̪ ɪ - b ɑː d̪ʱ ɪ t̪
प्रतिबाधी,p ɾ ə t̪ ɪ - b ɑː d̪ʱ iː
प्रतिबिंब,p ɾ ə t̪ ɪ - b ɪ m b
प्रतिबिंबक,p ɾ ə t̪ ɪ - b ɪ m b ə k
प्रतिबिंबित,p ɾ ə t̪ ɪ - b ɪ m b ɪ t̪
प्रतिबोध,p ɾ ə t̪ ɪ - b oː d̪ʱ
प्रतिबोधक,p ɾ ə t̪ ɪ - b oː d̪ʱ ə k
प्रतिबोधन,p ɾ ə t̪ ɪ - b oː d̪ʱ ə n
प्रतिबोधित,p ɾ ə t̪ ɪ - b oː d̪ʱ ɪ t̪
प्रतिबोधी,p ɾ ə t̪ ɪ - b oː d̪ʱ iː
प्रतिभट,p ɾ ə t̪ ɪ - bʱ ə ʈ
प्रतिभा,p ɾ ə t̪ ɪ - bʱ ɑː
प्रतिभाग,p ɾ ə t̪ ɪ - bʱ ɑː g
प्रतिभाव,p ɾ ə t̪ ɪ - bʱ ɑː ʋ
प्रतिभाषा,p ɾ ə t̪ ɪ - bʱ ɑː ʃ ɑː
प्रतिभास,p ɾ ə t̪ ɪ - bʱ ɑː s
प्रतिभासन,p ɾ ə t̪ ɪ - bʱ ɑː s ə n
प्रतिभिन्न,p ɾ ə t̪ ɪ - bʱ ɪ n n
प्रतिभू,p ɾ ə t̪ ɪ - bʱ uː
प्रतिभूति,p ɾ ə t̪ ɪ - bʱ uː t̪ ɪ
प्रतिभेद,p ɾ ə t̪ ɪ - bʱ eː d̪
प्रतिभेदन,p ɾ ə t̪ ɪ - bʱ eː d̪ ə n
प्रतिमा,p ɾ ə t̪ ɪ - m ɑː
प्रतिमान,p ɾ ə t̪ ɪ - m ɑː n
प्रतिमानित,p ɾ ə t̪ ɪ - m ɑː n ɪ t̪
प्रतिमानीकरण,p ɾ ə t̪ ɪ - m ɑː n iː k ə ɾ ə n
प्रतिमास,p ɾ ə t̪ ɪ - m ɑː s
प्रतिमासिक,p ɾ ə t̪ ɪ - m ɑː s ɪ k
प्रतिमूर्ति,p ɾ ə t̪ ɪ - m uː ɾ t̪ ɪ
प्रतियोग,p ɾ ə t̪ ɪ - j oː g
प्रतियोगिता,p ɾ ə t̪ ɪ - j oː g ɪ t̪ ɑː
